,idx,first_pass,solution_words,solution
371,371,Eros A L avi TA perla GE N tese re NA,È;rosa;la;vita;per;la;gente;serena,È rosa la vita per la gente serena
372,372,U N api C cola C AM Era,Una;piccola;camera,Una piccola camera
373,373,PR ovest Ra OR di N ari E,Prove;straordinarie,Prove straordinarie
374,374,U nave nana IF,Una;vena;naif,Una vena naif
375,375,R I somali zio SO,Riso;malizioso,Riso malizioso
376,376,re T T epa G Ate,Rette;pagate,Rette pagate
377,377,O dio S ori MB rotto,Odioso;rimbrotto,Odioso rimbrotto
378,378,L oste RZ ode L lana VE,Lo;sterzo;della;nave,Lo sterzo della nave
379,379,SC ari come RCI,Scarico;merci,Scarico merci
380,380,C olle Giove R celle SE,Collegio;vercellese,Collegio vercellese
381,381,S ape R sili MI T are,Sapersi;limitare,Sapersi limitare
382,382,UN ava ST api ANU rade L lame RIC alati N A,Una;vasta;pianura;dell;America;Latina,Una vasta pianura dell'America Latina
383,383,cane S tra D in sala TA,Canestra;d;insalata,Canestra d'insalata
384,384,idolo RI M U scolari,I;dolori;muscolari,I dolori muscolari
385,385,CI C ali nodi F etto SO,Cicalino;difettoso,Cicalino difettoso
386,386,V oca lista U stria CO,Vocalist;austriaco,Vocalist austriaco
387,387,S cappa redi C orsa S A chino N eco raggio SO,Scappare;di;corsa;sa;chi;non;è;coraggioso,Scappare di corsa sa chi non è coraggioso
388,388,MAE striscia T ori,Maestri;sciatori,Maestri sciatori
389,389,massi M ore S Po N S abile,Massimo;responsabile,Massimo responsabile
390,390,LO scopa S sante,Losco;passante,Losco passante
391,391,PRO grammi in stalla TI,Programmi;installati,Programmi installati
392,392,MA grida TI,Magri;dati,Magri dati
393,393,SI re nasi B I L ante,Sirena;sibilante,Sirena sibilante
394,394,CAL codice rana PO leoni C O,Calco;di;cera;napoleonico,Calco di cera napoleonico
395,395,A pesci A M ante,Ape;sciamante,Ape sciamante
396,396,P are rei L LU mina TO,Parere;illuminato,Parere illuminato
397,397,"lastra DA, STA tale",La;strada;statale,La strada statale
398,398,pale S arpe NT I mento,Palesar;pentimento,Palesar pentimento
399,399,VIV Erei N est RE maso LIT Udine,Vivere;in;estrema;solitudine,Vivere in estrema solitudine
400,400,B ambi naso S petto SA,Bambina;sospettosa,Bambina sospettosa
401,401,UN ala U rea con ferita,Una;laurea;conferita,Una laurea conferita
402,402,Pellico LA conto TO,Pellicola;con;Totò,Pellicola con Totò
403,403,C rema sola remi RA colo SA,Crema;solare;miracolosa,Crema solare miracolosa
404,404,C anta R dita N tegole,Cantar;di;tante;gole,Cantar di tante gole
405,405,U S are MO dio dio SI,Usare;modi;odiosi,Usare modi odiosi
406,406,legge OR D in aria,Legge;ordinaria,Legge ordinaria
407,407,mate ras Siam olle,Materassi;a;molle,Materassi a molle
408,408,E C celle rei N MA tema tic A,Eccellere;in;matematica,Eccellere in matematica
409,409,fari L Lazio N isba G LI Ate,Far;illazioni;sbagliate,Far illazioni sbagliate
410,410,torre N tellina S C osti,Torrentelli;nascosti,Torrentelli nascosti
411,411,tra CC I ala scia TA,Traccia;lasciata,Traccia lasciata
412,412,P orto nei NL ami ERA,Portone;in;lamiera,Portone in lamiera
413,413,Po stie cono mici,Posti;economici,Posti economici
414,414,T rebus sol E,Tre;bussole,Tre bussole
415,415,Eva N OP re tende R egra TI T Udine D agli UO mini,È;vano;pretendere;gratitudine;dagli;uomini,È vano pretendere gratitudine dagli uomini
416,416,NO leggio dita XI,Noleggio;di;taxi,Noleggio di taxi
417,417,PRO posta ES posta avo CE,Proposta;esposta;a;voce,Proposta esposta a voce
418,418,UN Agar acino F I la,Una;gara;cinofila,Una gara cinofila
419,419,E S tre mori M orso,Estremo;rimorso,Estremo rimorso
420,420,A vere di SA more,Avere;disamore,Avere disamore
421,421,G ode rea N nido RO,Godere;anni;d;oro,Godere anni d'oro
422,422,F armi S E refi GU re,Far;misere;figure,Far misere figure
423,423,do L O ribes T I ali,Dolori;bestiali,Dolori bestiali
424,424,arti S T ali B E Rodi E SP rime R si,Artisti;libero;di;esprimersi,Artisti libero di esprimersi
425,425,Gi Rodi M Orte,Giro;di;morte,Giro di morte
426,426,ave RI nani mori belli ON E,Aver;in;animo;ribellione,Aver in animo ribellione
427,427,A gilet ore A do R,Agile;toreador,Agile toreador
428,428,Po P O litri B ali,Popoli;tribali,Popoli tribali
429,429,velo CI T anelli P pica,Velocità;nell;ippica,Velocità nell'ippica
430,430,PR oboe letto RE,Probo;elettore,Probo elettore
431,431,U navi T oca sale,Un;avito;casale,Un avito casale
432,432,F avolo some NU,Favoloso;menu,Favoloso menu
433,433,P re MU rosa su O cera,Premurosa;suocera,Premurosa suocera
434,434,D arpa C che legge re agli A mici C O mese G nodi A F F etto,Dar;pacche;leggere;agli;amici;come;segno;di;affetto,Dar pacche leggere agli amici come segno di affetto
435,435,UN OS porta R dito,Uno;sport;ardito,Uno sport ardito
436,436,ave RE tempi S M Oneglia F F ari,Avere;tempi smo;negli;affari,Avere tempi smo negli affari
437,437,orche ST R alettone,Orchestra;lettone,Orchestra lettone
438,438,IM porta N testa F fedi tori A L E,Importante;staff;editoriale,Importante staff editoriale
439,439,D E metri O PI anelli,Demetrio;Pianelli,Demetrio Pianelli
440,440,CI fra L orda,Cifra;lorda,Cifra lorda
441,441,IN sala temi S TE,Insalate;miste,Insalate miste
442,442,posate A T R ale,Posa;teatrale,Posa teatrale
443,443,S oste nero P E redi CA Rita,Sostener;opere;di;carità,Sostener opere di carità
444,444,assale P oste R I ore,Assale;posteriore,Assale posteriore
445,445,E U fori adipe RSO nei M P U denti,Euforia;di;persone;impudenti,Euforia di persone impudenti
446,446,dardi N ari I N C ambi odi DO L L ari,Dar;dinari;in;cambio;di;dollari,Dar dinari in cambio di dollari
447,447,mari E L lana VA,Mariella;Nava,Mariella Nava
448,448,V oca B olivo LG ari,Vocaboli;volgari,Vocaboli volgari
449,449,S tori ed altri tori T MO,Storie;dal;trito;ritmo,Storie dal trito ritmo
450,450,tra mesti mola NTI,Trame;stimolanti,Trame stimolanti
451,451,odi AT odi TT AT ore,Odiato;dittatore,Odiato dittatore
452,452,espressi O NE India L etto,Espressione;in;dialetto,Espressione in dialetto
453,453,B ara rea con chino,Barare;a;conchino,Barare a conchino
454,454,DIS seta N teli MO nata,Dissetante;limonata,Dissetante limonata
455,455,TE Muti SSI Milo T TA tori,Temutissimi;lottatori,Temutissimi lottatori
456,456,Pi astri N ami LIT are,Piastrina;militare,Piastrina militare
457,457,COL arco N somme,Colar;consommé,Colar consommé
458,458,P Ro fon di T amari N E,Profondità;marine,Profondità marine
459,459,fa T IC area S sai,Faticare;assai,Faticare assai
460,460,pesca D I Frodo,Pesca;di;frodo,Pesca di frodo
461,461,C A balene fan D E,Cabale;nefande,Cabale nefande
462,462,FR esca NO mina,Fresca;nomina,Fresca nomina
463,463,pia N T arpa L etti,Piantar;paletti,Piantar paletti
464,464,O N dee LE vate,Onde;elevate,Onde elevate
465,465,auto R edili B R etti DO pera,Autore;di;libretti;d;opera,Autore di libretti d'opera
466,466,rigo RO some T O do,Rigoroso;metodo,Rigoroso metodo
467,467,O per A di AL fieri,Opera;di;Alfieri,Opera di Alfieri
468,468,vene ZI ali DO,Venezia;lido,Venezia lido
469,469,F orma lepre A V viso,Formale;preavviso,Formale preavviso
470,470,RIG Oglio soma IS,Rigoglioso;mais,Rigoglioso mais
471,471,T Reno R api D ocra CO via va RSA via,Treno;rapido;Cracovia;Varsavia,Treno rapido Cracovia - Varsavia
472,472,SFI anca N tegame,Sfiancante;game,Sfiancante game
473,473,B else C re TA I re,Bel;secreteire,Bel secreteire
474,474,NU casco per TA,Nuca;scoperta,Nuca scoperta
475,475,mini ST riparo di ATI,Ministri;parodiati,Ministri parodiati
476,476,volte A M pere,Volte;a;mperere,Volte a mperere
477,477,con TR ariete SI,Contrarie;tesi,Contrarie tesi
478,478,A F fari CH Eva NNO aro T oli,Affari;che;vanno;a;rotoli,Affari che vanno a rotoli
479,479,leggio N est E,Leggi;oneste,Leggi oneste
480,480,C orsi DI re CU pero,Corsi;di;recupero,Corsi di recupero
481,481,rovi S T arca S S etti,Rovistar;cassetti,Rovistar cassetti
482,482,B rocca divi N O dei C aste L L I RO mani,Brocca;di;vino;dei;castelli;romani,Brocca di vino dei castelli romani
483,483,musi C aria S colta TA,Musica;riascoltata,Musica riascoltata
484,484,MAS sedia PP assi O nati,Massé;di;appassionati,Massé di appassionati
485,485,unte mari letto,Un;tema;riletto,Un tema riletto
486,486,mani E R Edison est E,Maniere;disoneste,Maniere disoneste
487,487,L avi T avi EN Eva,La;vita;vive;n;è,La vita vive n è
488,488,O dio semina C CE,Odiose;minacce,Odiose minacce
489,489,R I usci rea D E collare,Riuscire;a;decollare,Riuscire a decollare
490,490,lame di A O R aria,La;media;oraria,La media oraria
491,491,peri C O losco N giurato,Pericolo;scongiurato,Pericolo scongiurato
492,492,mani E redi S conti NUE,Maniere;discontinue,Maniere discontinue
493,493,RE Cipro C odi S petto,Reciproco;dispetto,Reciproco dispetto
494,494,F amo S osti lista I Talia NO,Famoso;stilista;italiano,Famoso stilista italiano
495,495,risi C A T avi T tori A,Risicata;vittoria,Risicata vittoria
496,496,P arti RE perle oli E,Partire;per;l;Eolie,Partire per l'Eolie
497,497,MA traccia P panna TI,Matracci;appannati,Matracci appannati
498,498,fra sega L ante,Frase;galante,Frase galante
499,499,S con T rive RB ali,Scontri;verbali,Scontri verbali
500,500,S ed I lesena tori O,Sedile;senatorio,Sedile senatorio
501,501,tre mendicanti R I belli,Tremendi;canti;ribelli,Tremendi canti ribelli
502,502,colt I V ara nana S,Coltivar;ananas,Coltivar ananas
503,503,S C I alberi SP oste D A tese NZ ape N S are,Scialbe;risposte;date;senza;pensare,Scialbe risposte date senza pensare
504,504,"chiave RO, tale NTO L O di mostri",Chi;à;vero;talento;lo;dimostrì,Chi à vero talento lo dimostrì
505,505,fa C ciac O M punta,Faccia;compunta,Faccia compunta
506,506,OS pedale peri M A lati Di CU ore E Di P etto,Ospedale;per;i;malati;di;cuore;e;di;petto,Ospedale per i malati di cuore e di petto
507,507,M ala T amo L tomi GLI orata,Malata;molto;migliorata,Malata molto migliorata
508,508,PAO lodi A cono,Paolo;Diacono,Paolo Diacono
509,509,IM pia N TO tele visi VO,Impianto;televisivo,Impianto televisivo
510,510,S tori EL Leda M ore,Storielle;d;amore,Storielle d'amore
511,511,AU torero manti C O,Autore;romantico,Autore romantico
512,512,pia TT otri E S tino,Piatto;triestino,Piatto triestino
513,513,AL topi AN ode serti CO,Altopiano;desertico,Altopiano desertico
514,514,re porte ring lese,Reporter;inglese,Reporter inglese
515,515,L amo G Liegi O viale,La;moglie;gioviale,La moglie gioviale
516,516,M ode stie S B orsi,Modesti;esborsi,Modesti esborsi
517,517,A more in DI menti C A B ile,Amore;indimenticabile,Amore indimenticabile
518,518,S ala medio CA,Salame;di;Oca,Salame di Oca
519,519,tute L armi N O re NNI,Tutelar;minorenni,Tutelar minorenni
520,520,AL tori P aro,Alto;riparo,Alto riparo
521,521,VI si TA agli A M malati,Visita;agli;ammalati,Visita agli ammalati
522,522,P Alpi tante parti T A,Palpitante;partita,Palpitante partita
523,523,tram AND ara IP oste RI,Tramandar;ai;posteri,Tramandar ai posteri
524,524,E N orme di sordi N E,Enorme;disordine,Enorme disordine
525,525,IM mani teso RI,Immani;tesori,Immani tesori
526,526,asse S SO redi miss IO nari O,Assessore;dimissionario,Assessore dimissionario
527,527,P re NDE rete M Po,Prendere;tempo,Prendere tempo
528,528,F rena rena T U R ali tende NZE,Frenare;naturali;tendenze,Frenare naturali tendenze
529,529,fa N fa R O Nemi LL anta T ore,Fanfarone;millantatore,Fanfarone millantatore
530,530,L ascia teca NT are I L C U ore,Lasciate;cantare;il;cuore,Lasciate cantare il cuore
531,531,A nodo duna P I la,Anodo;d;una;pila,Anodo d'una pila
532,532,su sci T are I M manica T astro FI,Suscitare;immani;catastrofi,Suscitare immani catastrofi
533,533,scia BO lane LF ode RO,Sciabola;nel;fodero,Sciabola nel fodero
534,534,LA Giove NT uva capi TA,La;gioventù;va;capita,La gioventù va capita
535,535,B ellissi M ori T ratto,Bellissimo;ritratto,Bellissimo ritratto
536,536,re GIS tra rete R remo TI,Registrare;terremoti,Registrare terremoti
537,537,BU ratti NI R ossi,Burattini;rossi,Burattini rossi
538,538,sole R tea P P orto,Solerte;apporto,Solerte apporto
539,539,F arpa L leggio,Far;palleggio,Far palleggio
540,540,IC asti come S saggi O,Icastico;messaggio,Icastico messaggio
541,541,Man I eco L letti V E,Manie;collettive,Manie collettive
542,542,laser ramo rena,La;serpa;Morena,La serpa Morena
543,543,con su Marte,Consumar;tè,Consumar tè
544,544,U nero I copie M ON tese,Un;eroico;piemontese,Un eroico piemontese
545,545,U nari D dadi P O tesi,Una;ridda;d;ipotesi,Una ridda d'ipotesi
546,546,PU risi NCE riso LA riso R risi,Puri;sinceri;solari;sorrisi,"Puri, sinceri, solari sorrisi"
547,547,D armi SU re P recise,Dar;misure;precise,Dar misure precise
548,548,COM porta mento G A L ante cono G nido NNA,Comportamento;galante;con;ogni;donna,Comportamento galante con ogni donna
549,549,remi S C R E dente,Re;miscredente,Re miscredente
550,550,SFI anca N tea T tesa,Sfiancante;attesa,Sfiancante attesa
551,551,S menti Tecla M O rose,Smentite;clamorose,Smentite clamorose
552,552,SP ora di C oca SO,Sporadico;caso,Sporadico caso
553,553,A nel lido nati,Anelli;donati,Anelli donati
554,554,E S seri R riso,Esser;irriso,Esser irriso
555,555,U nani MOS ore P arto,Un;animoso;reparto,Un animoso reparto
556,556,ROM pica pieni G mi S tic I,Rompicapi;enigmatici,Rompicapi enigmatici
557,557,S costa N Teresa,Scostante;resa,Scostante resa
558,558,Pi C cola S cola RA,Piccola;scolara,Piccola scolara
559,559,re G A lire Cipro CI,Regali;reciproci,Regali reciproci
560,560,E remo semina S costose GN alato D Alfa I,Eremo;seminascosto;segnalato;dal;Fai,"Eremo seminascosto segnalato dal ""Fai"""
561,561,RON dea RM Ate,Ronde;armate,Ronde armate
562,562,dardi R etti V E P recise,Dar;direttive;precise,Dar direttive precise
563,563,P attore sci SSO,Patto;rescisso,Patto rescisso
564,564,V oca B olio V vino NUS Ati,Vocaboli;ovvi;non;usati,Vocaboli ovvi non usati
565,565,GI oca R epe S ante,Giocare;pesante,Giocare pesante
566,566,BRU scopa S saggio,Brusco;passaggio,Brusco passaggio
567,567,lana T U rade LL eco SE,La;natura;delle;cose,La natura delle cose
568,568,SP ode ST arti R anni,Spodestar;tiranni,Spodestar tiranni
569,569,L India MB I enti,Lindi;ambienti,Lindi ambienti
570,570,C oste GI amo NIT orate,Coste;già;monitorate,Coste già monitorate
571,571,U nano IOS Ascoli O si,Una;noiosa;scoliosi,Una noiosa scoliosi
572,572,S oste nere CO stie con O micio nero SI,Sostenere;costi;economici;onerosi,Sostenere costi economici onerosi
573,573,A M pollai ali N A,Ampolla;ialina,Ampolla ialina
574,574,P arti remi G R ante,Partir;emigrante,Partir emigrante
575,575,B rocca tiara B esca TI,Broccati;arabescati,Broccati arabescati
576,576,do L cieco N F etti,Dolci;e;confetti,Dolci e confetti
577,577,AR gente OM are,Argenteo;mare,Argenteo mare
578,578,SE rena tasca NZ O nata,Serenata;scanzonata,Serenata scanzonata
579,579,moschea F RI cane,Mosche;africane,Mosche africane
580,580,asse DI odi N vaso RI,Assedio;d;invasori,Assedio d'invasori
581,581,legge ras puma,Leggera;spuma,Leggera spuma
582,582,B ondine mi S S ione,Bond;in;emissione,Bond in emissione
583,583,ES sergente MO desta,Esser;gente;modesta,Esser gente modesta
584,584,F E dei NCR olla B ile,Fede;incrollabile,Fede incrollabile
585,585,US are unto NO in DI S Ponente,Usare;un;tono;indisponente,Usare un tono indisponente
586,586,O dio S odi SSI dio,Odioso;dissidio,Odioso dissidio
587,587,S Po tinti VU,Spot;in;tivù,Spot in tivù
588,588,larice R cava NA,La;ricerca;vana,La ricerca vana
589,589,UN ape sante E R E dita,Una;pesante;eredità,Una pesante eredità
590,590,AVE rospi tigre CI,Aver;ospiti;greci,Aver ospiti greci
591,591,A M pie D asso lati T E R razzi,Ampie;da;soslatti;terrazzi,Ampie da soslatti terrazzi
592,592,Rio Negro S seta NO,Rione;grossetano,Rione grossetano
593,593,cocco la tini Po tini,Coccolati;nipotini,Coccolati nipotini
594,594,picco L isba N D A menti,Piccoli;sbandamenti,Piccoli sbandamenti
595,595,BEL lepre visi O NI,Belle;previsioni,Belle previsioni
596,596,RI volta TE muta,Rivolta;temuta,Rivolta temuta
597,597,Borg O M astro RE nano,Borgomastro;renano,Borgomastro renano
598,598,L avo R opera T tacchini,Lavoro;per;attacchini,Lavoro per attacchini
599,599,NE spola AC erba,Nespola;acerba,Nespola acerba
600,600,baracca NT oca SA,Bar;accanto;casa,Bar accanto casa
601,601,su BI re GR avi T orti M ora LI,Subire;gravi;torti;morali,Subire gravi torti morali
602,602,IM presepe re N tori E,Imprese;perentorie,Imprese perentorie
603,603,muli N O A P ale,Mulino;a;pale,Mulino a pale
604,604,V A lenti adipe S C A tori,Valenti;ad;ipescatori,Valenti ad ipescatori
605,605,APP assi ON antere ali TY,Appassionante;reality,Appassionante reality
606,606,S Po R carter R azze,Sporcar;terrazze,Sporcar terrazze
607,607,S tram boa MI CH etto,Strambo;amichetto,Strambo amichetto
608,608,CA podista topi C C O nato RE,Capo;di;stato;picconatore,Capo di stato picconatore
609,609,IM pastore sode NSO,Impasto;reso;denso,Impasto reso denso
610,610,F I bradipi anta R A Ra,Fibra;di;pianta;rara,Fibra di pianta rara
611,611,zerbino T tori D I colo,Zerbinozzo;ridicolo,Zerbinozzo ridicolo
612,612,unto CC oli E VE,Un;tocco;lieve,Un tocco lieve
613,613,RA duna rami CI,Radunar;amici,Radunar amici
614,614,LI sciame N sola,Liscià;men sola,Liscià men sola
615,615,E C celle N tesa P ore,Eccellente;sapore,Eccellente sapore
616,616,E cono modista TO,Economo;di;stato,Economo di stato
617,617,S tazza lord A,Stazza;lorda,Stazza lorda
618,618,prete S E re S pinte,Pretese;respinte,Pretese respinte
619,619,RU barba ratto LI,Rubar;barattoli,Rubar barattoli
620,620,CU rea M ore V oli,Cure;amorevoli,Cure amorevoli
621,621,in versi ON edite ND Enza,Inversione;di;tendenza,Inversione di tendenza
622,622,PR epa R arso R presepe rami CI,Preparar;sorprese;per;amici,Preparar sorprese per amici
623,623,P Rodi Giosafat T U Ra,Prodigiosa;fattura,Prodigiosa fattura
624,624,tra medi T R A dito RI,Trame;di;traditori,Trame di traditori
625,625,VA stola gota IL Ande SE,Vasto;lago;tailandese,Vasto lago tailandese
626,626,AT tende rete nera M EN tela S posa,Attendere;teneramente;la;sposa,Attendere teneramente la sposa
627,627,IN con TR arpa re NTI,Incontri;parenti,Incontri parenti
628,628,presa GI remo MEN tigri GI,Presagire;momenti;grigi,Presagire momenti grigi
629,629,SAp pia TE chela SBA data G ginepro V oca D anni,Sappiate;che;la;sbaudataggio;provoca;danni,Sappiate che la sbaudataggio provoca danni
630,630,E vita leva NE prete SE,Evita;le;vane;pretese,Evita le vane pretese!
631,631,primo P remi O,Primo;premio,Primo premio
632,632,in FE liceali B I,Infelice;alibi,Infelice alibi
633,633,C ara F faro TTA,Caraffa;rotta,Caraffa rotta
634,634,IN frange re I re GO L A menti,Infrangere;i;regolamenti,Infrangere i regolamenti
635,635,favo L O sai M presa,Favolosa;impresa,Favolosa impresa
636,636,R est O M ancia,Resto;mancia,Resto mancia
637,637,P I ante Diana NAS,Piante;di;ananas,Piante di ananas
638,638,disco R S ore GI strato,Discorso;registrato,Discorso registrato
639,639,D alto NI coda L lana sci T A,Daltonica;dalla;nascita,Daltonica dalla nascita
640,640,A bilia T tori,Abili;attori,Abili attori
641,641,QU artiere E lega N tea reti NO,Quartiere;elegante;aretino,Quartiere elegante aretino
642,642,re tetri FA SE,Rete;trifase,Rete trifase
643,643,ST Adige nove SI,Stadi;genovesi,Stadi genovesi
644,644,F avolo S avi N Cita,Favolosa;vincita,Favolosa vincita
645,645,D arpista LIB Era peri L D E collo,Dar;pisti;albera;per;il;decollo,Dar pisti albera per il decollo
646,646,unta bus ciocco,Un;tabù;sciocco,Un tabù sciocco
647,647,PRI madido M IN are DO mina teste SSO,Prima;di;dominare;domina;te;stesso,Prima di dominare domina te stesso
648,648,UN ara P prese N T A zio negra F I Cam ode R NA,Una;rappresentazione;grafica;moderna,Una rappresentazione grafica moderna
649,649,bacca R A teca N asta,Baccarate;c;anasta,Baccarate c anasta
650,650,torri D A con cavalli V A,Torrida;conca;valliva,Torrida conca valliva
651,651,tremanti G lieti N TE,Tre;mantiglie;tinte,Tre mantiglie tinte
652,652,AG rum iri N secchi TI,Agrumi;rinsecchiti,Agrumi rinsecchiti
653,653,cardi N est R I dente,Cardine;stridente,Cardine stridente
654,654,conti N U are unite R,Continuare;un;iter,Continuare un iter
655,655,M ala TO chef ape NA,Malato;che;fa;pena,Malato che fa pena
656,656,filo logoro mano,Filologo;romano,Filologo romano
657,657,tre nodi M I N A tori,Treno;di;minatori,Treno di minatori
658,658,gru P Po D ile O NI,Gruppo;di;leoni,Gruppo di leoni
659,659,peri O Di tra S C orsi,Periodi;trascorsi,Periodi trascorsi
660,660,PE pero nata Pi C C ante,Peperonata;piccante,Peperonata piccante
661,661,F are F est ape R L ala U rea,Fare;festa;per;la;laurea,Fare festa per la laurea
662,662,IN vittima est RI,Invitti;maestri,Invitti maestri
663,663,DI sposi TIV odi GIT Ale,Dispositivo;digitale,Dispositivo digitale
664,664,PE pie radice R ami CA,Peperia;di;ceramica,Peperia di ceramica
665,665,assale R I P ara TO,Assale;riparato,Assale riparato
666,666,L armadi D avi dee R ala F I onda,L;arma;di;Davide;era;la;fionda,L'arma di Davide era la fionda
667,667,C re DE redi S ape reo GN IC osa,Credere;di;sapere;ogni;cosa,Credere di sapere ogni cosa
668,668,CU Po boa TO,Cupo;boato,Cupo boato
669,669,CUF fiaba G nata,Cuffia;bagnata,Cuffia bagnata
670,670,prete ND E remo LT eco M O dita,Pretendere;molte;comodità,Pretendere molte comodità
671,671,L ala crema NO,L;alacre;mano,L'alacre mano
672,672,C autobus sardi porta I N porta,Cauto;bussar;di;porta;in;porta,Cauto bussar di porta in porta
673,673,radar I mine S E,Rada;riminese,Rada riminese
674,674,baro NE S seta RA N tine,Baronesse;tarantine,Baronesse tarantine
675,675,manico T toro TTO,Manicotto;rotto,Manicotto rotto
676,676,P arabo lava N G elica,Parabola;vangelica,Parabola vangelica
677,677,L astri C arco N T rade,Lastricar;contrade,Lastricar contrade
678,678,in CI denti S uva S tasca LA,Incidenti;su;vasta;scala,Incidenti su vasta scala
679,679,U nasi G NO raspe TTI nata,Una;signora;spettinata,Una signora spettinata
680,680,L avi T ara PID avola,La;vita;rapida;vola,La vita rapida vola
681,681,T asse L lima N canti,Tasselli;mancanti,Tasselli mancanti
682,682,I tine RA rio alte R nati VO,Itinerario;alternativo,Itinerario alternativo
683,683,gru PP oca N O rosa R do,Gruppo;canoro;sardo,Gruppo canoro sardo
684,684,chino N cono S CE cono S cera,Chi;non;conosce;conoscerà,Chi non conosce conoscerà
685,685,AV erta NT iris P armi,Aver;tanti;risparmi,Aver tanti risparmi
686,686,UN aro S are G alata,Una;rosa;regalata,Una rosa regalata
687,687,massi LU Ra TI,Mas;silarati,Mas silarati
688,688,T R attori star I posa TO,Trattorista;riposato,Trattorista riposato
689,689,P E neri G O rose,Pené;rigorose,Pené rigorose
690,690,tris T est O RI Adige N tee MI grata,Triste;storia;di;gente;emigrata,Triste storia di gente emigrata
691,691,ambi E N timo LT ori ST retti,Ambienti;molto;ristretti,Ambienti molto ristretti
692,692,P orto nidi P ala ZZI,Portoni;di;palazzi,Portoni di palazzi
693,693,PA ginepro F onde,Pagine;profonde,Pagine profonde
694,694,ava N CE diamante,Avance;di;amante,Avance di amante
695,695,lino pero soma lato,L;inoperoso;malato,L'inoperoso malato
696,696,SP re CA re sol DI,Sprecare;soldi,Sprecare soldi
697,697,"auto riparo di AT, I",Autori;parodiati,Autori parodiati
698,698,VES titolo G oro,Vestito;logoro,Vestito logoro
699,699,P est arca LLI,Pestar;calli,Pestar calli
700,700,corni C Eros SA,Cornice;rossa,Cornice rossa
701,701,AM pipa R A menti,Ampi;paramenti,Ampi paramenti
702,702,F anta STI casa gradinata LE,Fantastica;sagra;di;Natale,Fantastica sagra di Natale
703,703,T rema redi S P A vento,Tremare;di;spavento,Tremare di spavento
704,704,C automobili E re,Cauto;mobiliere,Cauto mobiliere
705,705,A T tende rea L V arco,Attendere;al;varco,Attendere al varco
706,706,S anta pollo NIA,Sant;Apollonia,Sant'Apollonia
707,707,V est I tigri Giove RD OG N oli,Vestiti;grigioverdognoli,Vestiti grigioverdognoli
708,708,M assi CCI ori NF orzo,Massiccio;rinforzo,Massiccio rinforzo
709,709,NO nassa P ori L avi TA seno N ami,Non;assapori;la;vita;se;non;ami,Non assapori la vita se non ami
710,710,numero mano,Numé;romano,Numé romano
711,711,REP arto acqua R TI Erato,Reparto;acquartierato,Reparto acquartierato
712,712,MIT ras PIA nato,Mitra;spianato,Mitra spianato
713,713,B Asti O nidi rocca TI,Bastioni;diroccati,Bastioni diroccati
714,714,P rosi tassi LV est RO,Prosit;a;S;Silvestro,Prosit a S. Silvestro
715,715,teda N Z ante,Tè;danzante,Tè danzante
716,716,ami C iride N tinella B etto LA,Amici;ridenti;nella;bettola,Amici ridenti nella bettola
717,717,F est A pere X avi A tori,Festa;per;ex;aviatori,Festa per ex aviatori
718,718,in G redi E N tea M aro,Ingrediente;amaro,Ingrediente amaro
719,719,B elfi OR Eros adipe SCO,Bel;fiore;rosa;di;pesco,Bel fiore rosa di pesco
720,720,F A rei LP re S epe,Fare;il;presepe,Fare il presepe
721,721,A U menti T ari FF ari,Aumenti;tariffari,Aumenti tariffari
722,722,DO Verdi S F are,Dover;disfare,Dover disfare
723,723,VI sitar tra panieri C E pale RMO,Visitar;Trapani;Ercé;Palermo,"Visitar Trapani, Ercé, Palermo"
724,724,sci alberi matrici,Scialbe;rimatrici,Scialbe rimatrici
725,725,C alci ATO ridicolo re,Calciatori;di;colore,Calciatori di colore
726,726,A gogna topo STO,Agognato;posto,Agognato posto
727,727,Ero I CI miss I O nari,Eroici;missionari,Eroici missionari
728,728,torre NT I conta M I nati,Torrenti;contaminati,Torrenti contaminati
729,729,pere S T remi M ali R I M E ditali,Per;estremi;mali;rimedi;tali,Per estremi mali rimedi tali
730,730,ave R L avi N TA,Averla;vinta,Averla vinta
731,731,F Ares OG nidi SAR manti,Fare;sogni;disarmanti,Fare sogni disarmanti
732,732,C re DE rene L prese N tema S pera rene L DO mani,Credere;nel;presente;ma;sperare;nel;domani,"Credere nel presente, ma sperare nel domani"
733,733,LEG gerle M assi ME diari STO tele,Legger;le;massime;di;Aristotele,Legger le massime di Aristotele
734,734,E terno mi S T Ero,Eterno;mistero,Eterno mistero
735,735,CL Australia M BI enti,Claustrali;ambienti,Claustrali ambienti
736,736,P attico raggio SI,Patti;coraggiosi,Patti coraggiosi
737,737,"come TI, nari A",Comet;in;aria,Comet in aria
738,738,ES prime RSI India L etto,Esprimersi;in;dialetto,Esprimersi in dialetto
739,739,I radio di OS agente,Ira;di;odiosa;gente,Ira di odiosa gente
740,740,attinie N tea F fa T T ode C O rosi,Atti;niente;affatto;decorosi,Atti niente affatto decorosi
741,741,P re testina S C osti,Pretesti;nascosti,Pretesti nascosti
742,742,B E stie R E stie,Bestie;restie,Bestie restie
743,743,S U peri O redi R etto,Superiore;diretto,Superiore diretto
744,744,A Siam I N ore,Asia;minore,Asia minore
745,745,picche T T odi sci O pera NTI,Picchetto;di;scioperanti,Picchetto di scioperanti
